unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,year,total_faculty,tenured_total,t_track_total,non_tenure_total,assistant_professor_total,associate_professor_total,professor_total,non_tenure_assistant_professor,non_tenure_associate_professor,non_tenure_professor,t_track_assistant_professor,t_track_associate_professor,t_track_professor,tenured_assistant_professor,tenured_associate_professor,tenured_professor,pct_tenured,pct_t_track,pct_non_tenure,pct_professor,pct_associate_professor,pct_assistant_professor,pct_tenured_professor,pct_tenured_associate_professor,pct_tenured_assistant_professor,pct_t_track_professor,pct_t_track_associate_professor,pct_t_track_assistant_professor,pct_non_tenure_professor,pct_non_tenure_associate_professor,pct_non_tenure_assistant_professor,tenure_system_total,pct_tenure_system,non_tenure_to_tenure_system_ratio,senior_faculty_total,pct_senior_faculty,assistant_to_senior_ratio,check_tenure_total,check_rank_total,tenure_total_diff,rank_total_diff,pct_tenure_sum,pct_rank_sum,rank_total,pct_professor_ranked,pct_associate_professor_ranked,pct_assistant_professor_ranked,ft_ugrd,pt_ugrd,ugrd_total,ugrd_fte,grad_total,grad_fte,ugrds_per_faculty,grads_per_tenure_system,indexed_total_faculty
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2023,62,0,0,62,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,62,0,0,0,1,0,0,,,,50,7,57,52.33333333,1990,1720.666667,0.844086022,,91.17647059
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2024,66,0,0,66,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,66,0,0,0,1,0,0,,,,34,4,38,35.33333333,1836,1538,0.535353535,,97.05882353
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2025,74,0,0,74,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,74,0,0,0,1,0,0,,,,83,14,97,87.66666667,1818,1504.666667,1.184684685,,108.8235294
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2016,16,0,0,16,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,16,0,0,0,1,0,0,,,,176,119,295,215.6666667,312,186.6666667,13.47916667,,100
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2017,25,0,0,25,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,25,0,0,0,1,0,0,,,,246,90,336,276,333,198.3333333,11.04,,156.25
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2018,21,0,0,21,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,21,0,0,0,1,0,0,,,,398,98,496,430.6666667,400,224.6666667,20.50793651,,131.25
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2019,25,0,0,25,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,25,0,0,0,1,0,0,,,,254,94,348,285.3333333,320,186,11.41333333,,156.25
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2020,29,0,0,29,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,29,0,0,0,1,0,0,,,,330,113,443,367.6666667,508,206,12.67816092,,181.25
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2021,33,0,0,33,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,33,0,0,0,1,0,0,,,,380,97,477,412.3333333,511,196.3333333,12.49494949,,206.25
489937,Carolina University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2022,34,0,0,34,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,34,0,0,0,1,0,0,,,,297,53,350,314.6666667,476,293.3333333,9.254901961,,212.5
