unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,metric,first_year,last_year,n_years,first_value,last_value,absolute_change,percent_change,average_annual_change,slope,intercept,r_squared,p_value,std_error
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.273897059,0.197163121,-0.076733938,-0.280156124,-0.008525993,-0.008690341,17.80322901,0.881919117,5.58723E-05,0.001124261
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.165441176,0.219858156,0.05441698,0.32892041,0.006046331,0.006299184,-12.54352798,0.850658752,0.000144987,0.00093315
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.720588235,0.632624113,-0.087964122,-0.122072659,-0.009773791,-0.011971231,24.86139769,0.822813457,0.000291041,0.001964077
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.555147059,0.412765957,-0.142381101,-0.256474567,-0.015820122,-0.018270415,37.40492566,0.933329209,5.55295E-06,0.001726449
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,5.653061224,5.014947683,-0.638113541,-0.112879291,-0.070901505,-0.080581007,168.5107129,0.519704626,0.018647386,0.027388207
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,9.892156863,9.372576832,-0.519580031,-0.052524443,-0.057731115,-0.073809857,158.8012068,0.461915666,0.030621796,0.028165223
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,722,744,22,0.030470914,2.444444444,3.43030303,-6178.327273,0.305045173,0.097817264,1.830558882
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.501385042,0.516129032,0.014743991,0.029406523,0.001638221,0.000888541,-1.307583783,0.025296539,0.660748999,0.001950015
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.173130194,0.126344086,-0.046786108,-0.270236559,-0.005198456,-0.003900246,8.040164056,0.52528908,0.017727342,0.001310878
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.325484765,0.357526882,0.032042117,0.098444292,0.003560235,0.003011705,-5.732580273,0.429547445,0.039665212,0.001227077
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.21468144,0.295698925,0.081017484,0.377384669,0.009001943,0.008842137,-17.61623041,0.893574549,3.66793E-05,0.001078871
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.292243767,0.220430108,-0.07181366,-0.245732049,-0.007979296,-0.008077296,16.56122609,0.847540938,0.000157704,0.001211204
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.167590028,0.126344086,-0.041245942,-0.246112148,-0.004582882,-0.003776546,7.787584589,0.574903352,0.01103417,0.001148144
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.674515235,0.642473118,-0.032042117,-0.047503919,-0.003560235,-0.003011705,6.732580273,0.429547445,0.039665212,0.001227077
